text,label,toxicity
Could you explain more about this point? Sample ID: 361,0,0.3227342127590838
[MOCKUP TOXIC] Simulated discriminatory language placeholder. Sample ID: 73,1,0.5223861862590475
I think we can find common ground on this. Sample ID: 374,0,0.2710849552228574
I think we should focus on the facts here. Sample ID: 155,0,0.008650061370484907
[MOCKUP TOXIC] Placeholder for hostile speech detection testing. Sample ID: 104,1,0.8892676855017028
I appreciate the thoughtful analysis presented here. Sample ID: 394,0,0.16415613677123186
I learned something new from this post. Sample ID: 377,0,0.23600374105866467
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 124,1,0.899339052953816
[MOCKUP TOXIC] Simulated discriminatory language placeholder. Sample ID: 68,1,0.5232244086428808
I respect your opinion even though I see it differently. Sample ID: 450,0,0.07927076779580522
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 9,1,0.6989801882225575
This is a fair assessment of the situation. Sample ID: 194,0,0.11496258177278029
The comments here have been surprisingly constructive. Sample ID: 406,0,0.16895071288753155
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 84,1,0.9990873689462325
I would like to see more evidence for this claim. Sample ID: 371,0,0.41270721878690536
"Thanks for sharing this information, it was very helpful. Sample ID: 388",0,0.4419509074800543
This is a fair assessment of the situation. Sample ID: 495,0,0.46852731678288767
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 30,1,0.6704679401570979
I think there are valid arguments on both sides. Sample ID: 316,0,0.14853847889823635
Let's keep the discussion civil and productive. Sample ID: 408,0,0.11703124628603745
I respect your opinion even though I see it differently. Sample ID: 490,0,0.4150584556540613
I disagree with the author but respect their viewpoint. Sample ID: 491,0,0.33977593114259247
I learned something new from this post. Sample ID: 280,0,0.11808599124143865
I think there are valid arguments on both sides. Sample ID: 356,0,0.18849691460522744
[MOCKUP TOXIC] Placeholder for hostile speech detection testing. Sample ID: 76,1,0.7533558819663991
This article raises important questions. Sample ID: 461,0,0.26407002863687684
This is a complex issue that deserves more discussion. Sample ID: 497,0,0.44436386427585733
Could you explain more about this point? Sample ID: 211,0,0.19028306647360815
[MOCKUP TOXIC] This represents offensive content in testing. Sample ID: 101,1,0.9542620152502561
"This is exactly what I was looking for, thank you. Sample ID: 334",0,0.22068378015989482
I'd like to add some context to this discussion. Sample ID: 475,0,0.3731863373961769
"Great discussion, everyone has made good points. Sample ID: 336",0,0.465127159992528
I'd like to add some context to this discussion. Sample ID: 440,0,0.4537878519816332
This is a well-written article with some interesting points. Sample ID: 173,0,0.028476433647840582
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 2,1,0.6028521474882849
I found this article to be very informative. Sample ID: 333,0,0.23845271276613755
Could you explain more about this point? Sample ID: 409,0,0.21577714497655365
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 70,1,0.8204458324186035
Could you provide sources for this information? Sample ID: 209,0,0.4723545254127061
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 63,1,0.5562023556389744
"Thanks for sharing this information, it was very helpful. Sample ID: 384",0,0.22592933256712022
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 93,1,0.5962055189435697
This article raises important questions. Sample ID: 485,0,0.44705379919897376
This article raises important questions. Sample ID: 185,0,0.4822900929008264
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 33,1,0.739350840945175
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 77,1,0.5520051488640704
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 0,1,0.8926473333613366
[MOCKUP TOXIC] This represents offensive content in testing. Sample ID: 11,1,0.8485706752461994
This is a fair assessment of the situation. Sample ID: 415,0,0.17733541330515523
[MOCKUP TOXIC] Simulated discriminatory language placeholder. Sample ID: 22,1,0.9437037369844817
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 72,1,0.9879159448913536
"This is exactly what I was looking for, thank you. Sample ID: 182",0,0.2789269245650977
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 131,1,0.7828639556721462
I learned something new from this post. Sample ID: 410,0,0.14875675255688892
I think we can find common ground on this. Sample ID: 193,0,0.2922530179916571
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 55,1,0.7198211602624233
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 148,1,0.6510955134640259
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 18,1,0.5335925982619507
I really appreciate your perspective on this topic. Sample ID: 204,0,0.12635392985456245
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 78,1,0.5989273248388323
This is a complex issue that deserves more discussion. Sample ID: 494,0,0.27102099227697446
I found this to be a thoughtful piece. Sample ID: 262,0,0.3008350108817969
Thanks for bringing attention to this issue. Sample ID: 323,0,0.30428586215300824
I think we can find common ground on this. Sample ID: 483,0,0.19409050052283955
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 79,1,0.710614866842748
[MOCKUP TOXIC] Placeholder for hostile speech detection testing. Sample ID: 39,1,0.91711921482032
This is a well-written article with some interesting points. Sample ID: 451,0,0.2381164067585812
[MOCKUP TOXIC] Simulated harassment content placeholder. Sample ID: 46,1,0.9938866660685612
I appreciate the balanced approach here. Sample ID: 238,0,0.21980861500443244
This article raises important questions. Sample ID: 391,0,0.3247904723089195
Thanks for bringing attention to this issue. Sample ID: 352,0,0.0251814994966979
I would like to see more evidence for this claim. Sample ID: 341,0,0.3266699622094054
Thanks for bringing attention to this issue. Sample ID: 277,0,0.42571319720750306
I would like to see more evidence for this claim. Sample ID: 290,0,0.4712289192666481
I appreciate the balanced approach here. Sample ID: 317,0,0.49866030581988524
I found this article to be very informative. Sample ID: 304,0,0.14108932282461656
I learned something new from this post. Sample ID: 268,0,0.2876850324128584
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 69,1,0.7253589927660737
I appreciate the balanced approach here. Sample ID: 455,0,0.2819087402875855
I found this to be a thoughtful piece. Sample ID: 465,0,0.07872647859492332
I think there are valid arguments on both sides. Sample ID: 154,0,0.42807478629797074
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 82,1,0.9547844716722937
This needs more context to understand fully. Sample ID: 477,0,0.22483083155646127
